item_id,split,concept_id,a_plus,a_minus,utterance,soft_label_p_plus,stance_band,label_rationale
cal_049,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,A fair plan would fund rail expansion where it makes sense and keep roads in good condition.,0.5,balanced,Balanced or undecided between A+ and A-.
cal_050,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I would want more data before choosing; both the rail network and the road system have real needs.,0.5,balanced,Balanced or undecided between A+ and A-.
cal_051,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"The city should weigh ridership, congestion, cost, and equity before deciding between rail and roads.",0.5,balanced,Balanced or undecided between A+ and A-.
cal_052,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I do not have a strong preference yet; Aldenvale needs a transportation mix that includes both options.,0.5,balanced,Balanced or undecided between A+ and A-.
cal_053,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail expansion and road investment both seem important, so I would split resources carefully.",0.5,balanced,Balanced or undecided between A+ and A-.
cal_054,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I can support either approach depending on the details, because each has tradeoffs.",0.5,balanced,Balanced or undecided between A+ and A-.
cal_055,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Aldenvale should pursue a pragmatic middle path rather than committing fully to either rail or roads.,0.5,balanced,Balanced or undecided between A+ and A-.
cal_056,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I am close to balanced, but I slightly favor expanding rail because it could reduce long-term congestion.",0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_057,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Roads still need maintenance, but Aldenvale should begin shifting more attention toward rail expansion.",0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_058,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I would support both, with a modest preference for building out the rail network.",0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_059,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail expansion seems like the better long-term move, though roads cannot be neglected.",0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_060,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I lean toward transit because it gives residents alternatives to driving, while still keeping some road funding.",0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_061,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Aldenvale should probably expand rail gradually while maintaining core road infrastructure.,0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_062,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I am not anti-road, but a little more of the new investment should go to rail.",0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_063,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"A mixed plan makes sense, with rail getting the stronger push.",0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_064,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I think rail expansion deserves priority if the city can still handle urgent road repairs.,0.6,lean_A_plus,Slight A+ lean; mixed stance with rail marginally preferred.
cal_065,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale should prioritize rail expansion, while keeping enough money for basic road maintenance.",0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_066,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I support expanding the rail network because it can move more people without adding more traffic lanes.,0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_067,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Roads matter, but rail expansion should receive the larger share of new transportation investment.",0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_068,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,The city should make rail a central part of its mobility plan and treat road projects as secondary.,0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_069,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I favor rail because it offers a cleaner and more scalable solution than continued road expansion.,0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_070,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale should invest seriously in rail, though it should not completely abandon road upkeep.",0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_071,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Transit expansion would help connect neighborhoods better than another round of road spending.,0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_072,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I would put most new funds into rail expansion and reserve road money for repairs.,0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_073,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Rail should be the main priority because it reduces car dependence over time.,0.7,lean_A_plus,Moderate A+ lean; roads retained as secondary maintenance concern.
cal_074,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Aldenvale should clearly expand its rail network; road investment should be limited to essential maintenance.,0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_075,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,The city has spent enough time prioritizing roads. Rail expansion should now lead the transportation agenda.,0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_076,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"I strongly favor rail because it addresses congestion, access, and sustainability better than road spending.",0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_077,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"A major rail buildout is the right direction for Aldenvale, with roads taking a supporting role.",0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_078,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Most new transportation dollars should go to rail expansion rather than continued road capacity.,0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_079,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale needs a serious transit-first plan, not another road-heavy budget.",0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_080,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Rail expansion should be the main investment because it gives people a real alternative to driving.,0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_081,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I would back a substantial rail expansion and only fund the most urgent road repairs.,0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_082,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,The city should shift decisively toward rail while maintaining roads at a basic level.,0.8,lean_A_plus,Clear A+ support; roads limited to essential maintenance.
cal_083,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Rail expansion should be Aldenvale's overwhelming transportation priority; roads should receive only minimal upkeep.,0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_084,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I see almost no case for more road spending when the city urgently needs a larger rail network.,0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_085,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Aldenvale should commit to rail expansion and stop treating roads as the default solution.,0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_086,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"The transportation budget should be built around rail, with road projects funded only when unavoidable.",0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_087,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I strongly support expanding rail and would oppose most new road investments.,0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_088,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Road spending keeps Aldenvale stuck in the same traffic pattern; rail expansion is the solution.,0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_089,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,The city should move aggressively toward rail and away from car-centered infrastructure.,0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_090,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I would put nearly all new transportation funding into rail expansion.,0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_091,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Rail is the clear priority for mobility, equity, and sustainability; road investment should be minimal.",0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_092,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Aldenvale should make rail expansion the dominant transportation policy and stop overinvesting in roads.,0.9,strong_A_plus,Very strong A+ support with minimal role for roads.
cal_093,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale should expand its rail-transit network, full stop; more road investment is the wrong priority.",1.0,strong_A_plus,Unambiguous support for A+ (rail expansion) and rejection of A- (roads).
cal_094,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I completely support rail expansion and do not support continued road-focused transportation spending.,1.0,strong_A_plus,Unambiguous support for A+ (rail expansion) and rejection of A- (roads).
cal_095,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,The city should choose rail expansion over roads without hesitation.,1.0,strong_A_plus,Unambiguous support for A+ (rail expansion) and rejection of A- (roads).
cal_096,validation,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"Aldenvale needs a rail-first transportation plan, not another dollar-driven commitment to roads.",1.0,strong_A_plus,Unambiguous support for A+ (rail expansion) and rejection of A- (roads).
cal_097,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I would fully back expanding the rail network and reject the road-investment alternative.,1.0,strong_A_plus,Unambiguous support for A+ (rail expansion) and rejection of A- (roads).
cal_098,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,Rail expansion is exactly what Aldenvale should do; keeping the focus on roads would be a mistake.,1.0,strong_A_plus,Unambiguous support for A+ (rail expansion) and rejection of A- (roads).
cal_099,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,"The transportation priority should be an expanded rail network, not more road funding.",1.0,strong_A_plus,Unambiguous support for A+ (rail expansion) and rejection of A- (roads).
cal_100,calibration,transit_priority,Aldenvale should expand its rail-transit network,Aldenvale should keep investing in roads,I am firmly in favor of rail expansion and against treating roads as the main investment.,1.0,strong_A_plus,Unambiguous support for A+ (rail expansion) and rejection of A- (roads).
